4/24/15 9:11 AM
Statistica del projecto

              	Segmentos	Parolas	Characteres (sin spatios)	Characteres (includente spatios)	#Files	
Total:        	     7985	  87562	                   475110	                          552481	    80	
Restante:     	     7869	  86541	                   469469	                          545934	    80	
Unic:         	     5559	  76278	                   405359	                          474656	    79	
Unic restante:	     5464	  75306	                   400061	                          468481	    79	


Statistica individual del file:

Nomine del file                                                        	Segmentos total	Segmentos cetere	Segmentos unic	Segmentos unic cetere	Parolas total	Parolas cetere	Parolas unic	Parolas unic cetere	Characteres total (sin spatios)	Characteres cetere (sin spatios)	Characteres unic (sin spatios)	Characteres unic cetere (sin spatios)	Characteres total (includente spatios)	Characteres cetere (includente spatios)	Characteres unic (includente spatios)	Characteres unic cetere (includente spatios)	
OmegaT Website en\howtos\docx.html                                     	            109	             109	            88	                   88	         2270	          2270	        2202	               2202	                          11814	                           11814	                         11311	                                11311	                                 13905	                                  13905	                                13373	                                       13373	
OmegaT Website en\howtos\compiling_from_source.html                    	             79	              79	            48	                   48	          502	           502	         414	                414	                           2846	                            2846	                          2265	                                 2265	                                  3213	                                   3213	                                 2594	                                        2594	
OmegaT Website en\howtos\compatibility_deja_vu.html                    	             36	              36	            15	                   15	          472	           472	         403	                403	                           2484	                            2484	                          1998	                                 1998	                                  2891	                                   2891	                                 2378	                                        2378	
OmegaT Website en\howtos\compatibility.html                            	             99	              98	            75	                   74	         2667	          2665	        2578	               2576	                          14401	                           14382	                         13737	                                13718	                                 16891	                                  16871	                                16196	                                       16176	
OmegaT Website en\downloads.html                                       	             45	              45	             7	                    7	          165	           165	          73	                 73	                           1177	                            1177	                           419	                                  419	                                  1278	                                   1278	                                  484	                                         484	
OmegaT Website en\contact_support.html                                 	             60	              60	            18	                   18	          284	           284	         168	                168	                           2003	                            2003	                          1017	                                 1017	                                  2170	                                   2170	                                 1147	                                        1147	
OmegaT Website en\3rd_party.html                                       	             70	              70	            31	                   31	          326	           326	         234	                234	                           2210	                            2210	                          1449	                                 1449	                                  2438	                                   2438	                                 1643	                                        1643	
OmegaT for Beginners.odt                                               	            511	             511	           349	                  349	         7851	          7851	        7459	               7459	                          41413	                           41413	                         38824	                                38824	                                 48467	                                  48467	                                45727	                                       45727	
doc_src\en\UserInterface.xml                                           	            215	             214	           202	                  201	         3485	          3482	        3454	               3451	                          17766	                           17750	                         17587	                                17571	                                 21064	                                  21046	                                20866	                                       20848	
doc_src\en\TranslationMemories.xml                                     	            110	             108	           106	                  106	         3170	          3166	        3160	               3160	                          16493	                           16455	                         16408	                                16408	                                 19543	                                  19503	                                19452	                                       19452	
doc_src\en\Spellchecker.xml                                            	             25	              25	            24	                   24	          747	           747	         745	                745	                           3963	                            3963	                          3951	                                 3951	                                  4688	                                   4688	                                 4675	                                        4675	
doc_src\en\Segmentation.xml                                            	             57	              28	            55	                   26	         1032	           854	        1030	                852	                           5191	                            4123	                          5187	                                 4119	                                  6180	                                   4961	                                 6176	                                        4957	
doc_src\en\Searches.xml                                                	             43	              43	            41	                   41	          857	           857	         854	                854	                           4267	                            4267	                          4247	                                 4247	                                  5094	                                   5094	                                 5073	                                        5073	
doc_src\en\Regexp.xml                                                  	            158	             100	           136	                   95	          797	           451	         727	                423	                           4203	                            2262	                          3787	                                 2130	                                  4815	                                   2588	                                 4360	                                        2443	
doc_src\en\ProjectProperties.xml                                       	             32	              31	            30	                   30	          814	           812	         810	                810	                           4389	                            4372	                          4355	                                 4355	                                  5173	                                   5155	                                 5137	                                        5137	
doc_src\en\PlainText.xml                                               	             25	              25	            25	                   25	          506	           506	         506	                506	                           2457	                            2457	                          2457	                                 2457	                                  2934	                                   2934	                                 2934	                                        2934	
doc_src\en\OmegaTUsersManual_xinclude full.xml                         	              5	               5	             5	                    5	           28	            28	          28	                 28	                            155	                             155	                           155	                                  155	                                   179	                                    179	                                  179	                                         179	
